,latitude,longitude,density_availability_day
0,40.64749,-73.97237,1.0
1,40.75362,-73.98377,0.9726027397260274
2,40.80902,-73.9419,1.0
3,40.68514,-73.95976,0.5315068493150685
4,40.79851,-73.94399,0.0
5,40.74767,-73.975,0.35342465753424657
6,40.68688,-73.95596,0.0
7,40.76489,-73.98493,0.6027397260273972
8,40.80178,-73.96723,0.0
9,40.71344,-73.99037,0.5150684931506849
10,40.80316,-73.96545,0.01643835616438356
11,40.76076,-73.98867,0.10684931506849316
12,40.66829,-73.98779,0.8602739726027397
13,40.79826,-73.96113,0.9123287671232877
14,40.7353,-74.00525,0.0
15,40.70837,-73.95352,0.12602739726027398
16,40.69169,-73.97185,0.8794520547945206
17,40.74192,-73.99501,0.03287671232876712
18,40.67592,-73.94694,0.057534246575342465
19,40.79685,-73.94872,0.6821917808219178
20,40.71842,-73.95718,0.0
21,40.68069,-73.97706,0.9506849315068493
22,40.67989,-73.97798,0.9972602739726028
23,40.68001,-73.97865,0.8328767123287671
24,40.68371,-73.94028,0.6383561643835617
25,40.65599,-73.97519,0.2328767123287671
26,40.86754,-73.92639,0.0
27,40.76715,-73.98533,0.2054794520547945
28,40.86482,-73.92106,0.852054794520548
29,40.7292,-73.98542,0.18356164383561643
30,40.82245,-73.95104,0.9726027397260274
31,40.81305,-73.95466,0.6986301369863014
32,40.72219,-73.93762,0.7780821917808219
33,40.8213,-73.95318,0.9835616438356164
34,40.6831,-73.95473,0.736986301369863
35,40.66869,-73.9878,0.9315068493150684
36,40.68876,-73.94312,1.0
37,40.70186,-73.92745,0.06027397260273973
38,40.63702,-73.96327,1.0
39,40.71401,-73.98917,0.5150684931506849
40,40.7229,-73.98199,0.26301369863013696
41,40.66278,-73.97966,0.9452054794520548
42,40.69673,-73.97584,0.852054794520548
43,40.79009,-73.97927,0.7479452054794521
44,40.81175,-73.94478,0.8465753424657534
45,40.65944,-73.96238,0.2602739726027397
46,40.74771,-73.9474,0.589041095890411
47,40.68111,-73.95591,0.726027397260274
48,40.68554,-73.9409,0.0
49,40.69142,-73.97376,0.5260273972602739
50,40.68043,-73.93934,0.6876712328767123
51,40.78635,-73.97008,0.8273972602739726
52,40.7042,-73.9356,0.3835616438356164
53,40.73506,-73.95392,0.6410958904109589
54,40.73961,-73.98074,0.7041095890410959
55,40.70881,-73.9593,0.0821917808219178
56,40.72004,-73.99104,0.8246575342465754
57,40.75531,-73.99293,0.8054794520547945
58,40.72401,-73.93788,0.8767123287671232
59,40.7221,-73.99775,0.42191780821917807
60,40.71185,-73.96204,0.7205479452054795
61,40.74623,-73.9953,0.4931506849315068
62,40.77065,-73.95269,0.6328767123287671
63,40.67811,-73.96428,0.8136986301369863
64,40.69,-73.96788,0.8
65,40.75979,-73.99119,0.5232876712328767
66,40.67343,-73.98338,0.0
67,40.72649,-73.97904,0.19726027397260273
68,40.70933,-73.96792,0.9917808219178083
69,40.72298,-73.98474,0.9205479452054794
